Date,Symbol,Side,EntryPrice,SLPrice,Qty,PnL,GapPct,OpenBias,ExitReason,Duration
2025-10-10,DRREDDY,BUY,1255.50,1251.30,27,-113.40,0.29,NEUTRAL,STOPLOSS,50min
2025-10-10,HEROMOTOCO,BUY,5557.50,5536.00,6,-129.00,0.05,LONG,STOPLOSS,25min
2025-10-13,ADANIENT,SELL,2438.20,2444.42,13,-80.80,-0.58,NEUTRAL,STOPLOSS,10min
2025-10-13,HEROMOTOCO,BUY,5560.00,5536.69,6,-139.83,-0.04,LONG,STOPLOSS,25min
2025-10-14,ITC,SELL,390.50,391.34,87,32.30,0.15,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,125min
2025-10-14,TECHM,BUY,1476.80,1470.79,23,-138.13,0.23,LONG,STOPLOSS,15min
2025-10-15,HDFCBANK,BUY,983.35,977.62,34,-194.90,-0.20,NEUTRAL,STOPLOSS,260min
2025-10-15,ICICIBANK,BUY,1393.40,1389.51,24,-93.26,0.12,LONG,STOPLOSS,70min
2025-10-16,HEROMOTOCO,BUY,5602.50,5580.00,6,-135.00,0.76,NEUTRAL,STOPLOSS,25min
2025-10-16,ITC,BUY,393.55,392.45,86,-94.60,0.17,NEUTRAL,STOPLOSS,25min
2025-10-17,ITC,BUY,401.10,399.44,84,168.25,0.03,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,80min
2025-10-17,MARUTI,BUY,16459.00,16386.77,2,-144.46,0.02,LONG,STOPLOSS,180min
2025-10-20,TCS,BUY,3002.00,2990.29,11,151.84,0.76,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,210min
2025-10-23,TECHM,BUY,1480.70,1477.73,22,27.90,1.25,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,30min
2025-10-24,ICICIBANK,BUY,1381.60,1376.24,24,-128.69,0.28,LONG,STOPLOSS,55min
2025-10-27,ITC,BUY,410.55,409.93,82,25.20,-0.18,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,40min
2025-10-27,TECHM,BUY,1468.40,1463.72,23,-107.69,0.29,LONG,STOPLOSS,30min
2025-10-28,MARUTI,BUY,16475.00,16439.00,2,-72.00,0.10,LONG,STOPLOSS,20min
2025-10-29,ADANIENT,BUY,2445.80,2434.05,13,326.10,0.04,LONG,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,15min
2025-10-29,TATACONSUM,BUY,1184.30,1178.91,28,-150.79,0.27,LONG,STOPLOSS,65min
2025-10-30,ADANIENT,SELL,2451.80,2468.60,13,-218.46,-0.14,NEUTRAL,STOPLOSS,35min
2025-10-30,TECHM,SELL,1445.40,1449.72,23,118.74,-0.14,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,105min
2025-10-31,HEROMOTOCO,BUY,5600.00,5572.45,6,-165.32,0.23,LONG,STOPLOSS,170min
2025-10-31,ITC,BUY,415.60,413.91,81,-136.58,0.27,NEUTRAL,STOPLOSS,160min
2025-11-04,ITC,SELL,402.55,404.08,84,-128.20,0.00,NEUTRAL,STOPLOSS,35min
2025-11-04,TCS,SELL,3005.20,3015.16,11,226.80,0.00,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STAGE3_2R,80min
2025-11-10,HEROMOTOCO,BUY,5383.00,5345.00,6,-87.00,0.19,LONG,EOD_AUTO_EXIT,355min
2025-11-10,TATACONSUM,SELL,1158.30,1164.05,29,275.05,0.19,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,185min
2025-11-11,DRREDDY,BUY,1206.00,1203.11,28,-80.91,0.46,NEUTRAL,STOPLOSS,10min
2025-11-11,HEROMOTOCO,SELL,5348.50,5366.00,6,-105.00,0.13,NEUTRAL,STOPLOSS,75min
2025-11-12,ADANIENT,BUY,2384.90,2326.75,14,352.80,0.58,NEUTRAL,EOD_AUTO_EXIT,340min
2025-11-12,DRREDDY,BUY,1224.00,1219.94,27,129.10,0.59,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,130min
2025-11-13,ICICIBANK,BUY,1382.00,1373.34,24,81.60,0.03,LONG,EOD_AUTO_EXIT,320min
2025-11-14,ADANIENT,BUY,2457.50,2430.26,13,-354.07,0.48,NEUTRAL,STOPLOSS,10min
2025-11-14,DRREDDY,BUY,1243.50,1237.92,27,-150.61,0.06,NEUTRAL,STOPLOSS,310min
2025-11-17,ICICIBANK,BUY,1380.90,1378.72,24,-52.28,0.14,LONG,STOPLOSS,5min
2025-11-17,TCS,SELL,3088.80,3095.73,11,-76.24,-0.19,NEUTRAL,STOPLOSS,45min
2025-11-19,TCS,BUY,3124.10,3112.14,10,158.34,0.55,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,70min
2025-11-19,TECHM,BUY,1435.20,1431.10,23,94.19,0.39,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,65min
2025-11-20,ITC,BUY,397.45,396.40,85,41.80,-0.05,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,90min
2025-11-21,ADANIENT,SELL,2428.00,2444.05,14,126.00,-0.75,NEUTRAL,EOD_AUTO_EXIT,310min
2025-11-21,DRREDDY,SELL,1241.00,1241.76,27,-20.60,0.04,NEUTRAL,STOPLOSS,15min
2025-11-24,DRREDDY,BUY,1254.80,1250.89,27,69.30,0.36,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,95min
2025-11-25,ITC,SELL,393.75,394.51,86,-65.20,-0.11,NEUTRAL,STOPLOSS,15min
2025-11-26,TCS,BUY,3145.10,3132.46,10,166.47,0.07,LONG,STAGE1_0.5R+STAGE2_1R+STOPLOSS,70min
2025-11-27,DRREDDY,BUY,1255.80,1248.62,27,-193.76,0.08,NEUTRAL,STOPLOSS,20min
2025-11-27,ICICIBANK,BUY,1388.40,1384.80,24,-86.40,0.29,NEUTRAL,STOPLOSS,20min
2025-11-28,ADANIENT,BUY,2296.40,2274.11,14,123.00,0.80,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,245min
2025-11-28,HDFCBANK,BUY,1009.15,1006.90,33,38.50,-0.22,NEUTRAL,STAGE1_0.5R+STAGE2_1R+STOPLOSS,195min
